"Dataset","Disc_NB","None_GNB","Diff_NB","Disc_LogisticReg","None_LogisticReg","Disc_XGBoost","None_XGBoost"
"Iris",0.94,0.9467,-0.0067,0.94,0.9533,0.9333,0.9467
"BreastCancer",0.9736,0.9605,0.0131,0.9634,0.9649,0.9649,0.9663
"Ionosphere",0.9088,0.8205,0.0883,0.8405,0.8205,0.9288,0.9316
"Glass",0.7103,0.3879,0.3224,0.6542,0.6262,0.7523,0.7757
"Vehicle",0.6407,0.4716,0.1691,0.7293,0.7955,0.7116,0.766
"Sonar",0.7163,0.6683,0.048,0.7163,0.6971,0.7692,0.7644
"PimaDiabetes",0.75,0.7526,-0.0026,0.7552,0.7734,0.7526,0.7552
"Vowel",0.5697,0.5616,0.0081,0.5182,0.5939,0.7768,0.8323
"Satellite",0.8177,0.7956,0.0221,0.8572,0.8573,0.8918,0.8928
"Shuttle",0.99,0.4113,0.5787,0.9779,0.9657,0.9967,0.9989
"BostonHousing",0.8142,0.7688,0.0454,0.8458,0.8518,0.8577,0.8538
"Ozone",0.8227,0.8621,-0.0394,0.798,0.8128,0.798,0.798
"Waveform",0.7867,0.7933,-0.0066,0.78,0.8067,0.78,0.7767
"Normals2D",0.8067,0.84,-0.0333,0.8233,0.83,0.8233,0.7833
"Circle",0.78,0.8333,-0.0533,0.5667,0.5633,0.7967,0.8433
"Spirals",0.7467,0.4867,0.26,0.4967,0.5,0.8067,0.8933
"Cassini",1,0.9967,0.0033,1,0.9933,1,1
"Ringnorm",0.9367,0.9833,-0.0466,0.6633,0.6533,0.85,0.8567
"Threenorm",0.7367,0.8333,-0.0966,0.7933,0.82,0.8,0.8067
"Twonorm",0.9267,0.9733,-0.0466,0.94,0.9333,0.9167,0.9233
"AirQuality",0.8198,0.8378,-0.018,0.8018,0.8288,0.8198,0.8108
"Mean",0.8188,0.7612,0.0576,0.7839,0.7924,0.8441,0.856
