"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP","Best"
"Iris",0.9467,0.52,0.42,0.42,0.94,0.54,0.58,0.9267,"GOLD"
"BreastCancer",0.9663,0.8023,0.7994,0.7994,0.9678,0.959,0.9458,0.9634,"ChiMerge"
"Ionosphere",0.8376,0.6952,0.7379,0.7151,0.8433,0.359,0.359,0.8832,"MDLP"
"Glass",0.6542,0.4626,0.5654,0.5374,0.6308,0.2243,0.2757,0.6402,"GOLD"
"Vehicle",0.7057,0.4669,0.5319,0.5697,0.7092,0.2352,0.2612,0.6702,"ChiMerge"
"Sonar",0.7452,0.6779,0.5529,0.6058,0.6827,0.4663,0.4663,0.7019,"GOLD"
"PimaDiabetes",0.7656,0.349,0.3646,0.3542,0.7617,0.3698,0.3503,0.763,"GOLD"
"Vowel",0.4737,0.2899,0.4717,0.2909,0.5263,0.0919,0.0939,0.4818,"ChiMerge"
"Satellite",0.8538,0.773,0.7882,0.7882,0.8575,0.211,0.2183,0.8598,"MDLP"
"Shuttle",0.9782,0.9383,0.2907,0.2948,0.9536,0.0264,0.0133,0.9758,"GOLD"
"BostonHousing",0.8577,0.6601,0.6166,0.6818,0.8538,0.5672,0.4842,0.8577,"GOLD, MDLP"
"Ozone",0.803,0.5961,0.5419,0.5271,0.8177,0.5567,0.532,0.7783,"ChiMerge"
"Waveform",0.75,0.6233,0.7133,0.6767,0.8033,0.3467,0.6567,0.77,"ChiMerge"
"Normals2D",0.8033,0.55,0.4867,0.4867,0.8267,0.2233,0.4467,0.8267,"ChiMerge, MDLP"
"Circle",0.5933,0.5833,0.6033,0.5333,0.5533,0.5333,0.5333,0.68,"MDLP"
"Spirals",0.5267,0.53,0.5933,0.58,0.5367,0.5,0.5,0.5667,"CACC"
"Cassini",1,0.4033,0.4033,0.4033,1,0.4,0.4367,1,"GOLD, ChiMerge, MDLP"
"Ringnorm",0.67,0.5,0.5,0.5,0.6567,0.5,0.5,0.76,"MDLP"
"Threenorm",0.7633,0.7767,0.71,0.7133,0.7833,0.5267,0.6,0.7233,"ChiMerge"
"Twonorm",0.93,0.5,0.5,0.5,0.97,0.5,0.5,0.9067,"ChiMerge"
"AirQuality",0.8018,0.5676,0.6486,0.6486,0.8108,0.5045,0.5045,0.8018,"ChiMerge"
"Mean",0.7822,0.5841,0.5638,0.5536,0.785,0.4115,0.4409,0.7875,"—"
