"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP","Best"
"Iris",0.9333,0.06,0.06,0.06,0.9333,0.3733,0.3733,0.9333,"GOLD, ChiMerge, MDLP"
"BreastCancer",0.9004,0.6281,0.6281,0.6281,0.9004,0.9107,0.9209,0.9004,"ExtendChi2"
"Ionosphere",0.8376,0.2222,0.2963,0.2963,0.7407,0.359,0.359,0.8234,"GOLD"
"Glass",0.5654,0.2103,0.2617,0.215,0.514,0.3037,0.4673,0.5607,"GOLD"
"Vehicle",0.5154,0.1584,0.182,0.1619,0.5142,0.2577,0.2577,0.539,"MDLP"
"Sonar",0.6635,0.5337,0.4712,0.5337,0.6442,0.5337,0.4663,0.7163,"MDLP"
"PimaDiabetes",0.7188,0.2708,0.4479,0.2747,0.7044,0.3503,0.3503,0.7148,"GOLD"
"Vowel",0.2747,0.1232,0.1424,0.1687,0.3121,0.0909,0.0909,0.2697,"ChiMerge"
"Satellite",0.598,0.2587,0.272,0.272,0.5997,0.211,0.211,0.5974,"ChiMerge"
"Shuttle",0.9237,0.132,0.0741,0.0741,0.9447,0.0556,0.0556,0.9447,"ChiMerge, MDLP"
"BostonHousing",0.8261,0.1719,0.1798,0.1798,0.8083,0.5889,0.5119,0.8043,"GOLD"
"Ozone",0.734,0.5369,0.5369,0.5369,0.6946,0.5123,0.532,0.7438,"MDLP"
"Waveform",0.5367,0.26,0.4033,0.24,0.4867,0.3633,0.4733,0.56,"MDLP"
"Normals2D",0.4633,0.42,0.3567,0.3567,0.4633,0.2467,0.3433,0.4833,"MDLP"
"Circle",0.6367,0.47,0.4633,0.3633,0.6033,0.5333,0.5333,0.6433,"MDLP"
"Spirals",0.67,0.3833,0.3667,0.3833,0.5967,0.5133,0.5,0.5733,"GOLD"
"Cassini",1,0.0033,0.0033,0.0033,1,0.4,0.4,1,"GOLD, ChiMerge, MDLP"
"Ringnorm",0.6767,0.47,0.46,0.4433,0.6233,0.45,0.4667,0.6733,"GOLD"
"Threenorm",0.5867,0.5067,0.48,0.5067,0.5333,0.53,0.53,0.6567,"MDLP"
"Twonorm",0.6567,0.5067,0.5067,0.5067,0.5567,0.54,0.5533,0.7,"MDLP"
"AirQuality",0.8649,0.5135,0.5135,0.5135,0.8288,0.5045,0.5045,0.8108,"GOLD"
"Mean",0.6944,0.3257,0.3384,0.3199,0.6668,0.4109,0.4238,0.6975,"—"
