"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP","Best"
"Iris",0.9333,0.34,0.34,0.34,0.9333,0.5667,0.5133,0.9333,"GOLD, ChiMerge, MDLP"
"BreastCancer",0.9605,0.8726,0.877,0.877,0.9619,0.9605,0.9341,0.9634,"MDLP"
"Ionosphere",0.9373,0.6638,0.4986,0.4046,0.9345,0.359,0.359,0.9316,"GOLD"
"Glass",0.6776,0.4112,0.5514,0.4112,0.7523,0.1262,0.1495,0.6776,"ChiMerge"
"Vehicle",0.708,0.2801,0.3109,0.3002,0.7388,0.234,0.234,0.6986,"ChiMerge"
"Sonar",0.7885,0.5385,0.5673,0.5337,0.7692,0.4663,0.4663,0.726,"GOLD"
"PimaDiabetes",0.7552,0.349,0.3841,0.3568,0.7565,0.3672,0.3503,0.7435,"ChiMerge"
"Vowel",0.6404,0.4283,0.6475,0.4343,0.8455,0.0889,0.103,0.6,"ChiMerge"
"Satellite",0.8931,0.6068,0.6109,0.6109,0.8923,0.211,0.211,0.8903,"GOLD"
"Shuttle",0.9965,0.2794,0.0019,0.0019,0.9986,0.5735,0.5746,0.9981,"ChiMerge"
"BostonHousing",0.8518,0.5,0.498,0.498,0.8597,0.496,0.581,0.8379,"ChiMerge"
"Ozone",0.7734,0.5468,0.5222,0.5172,0.798,0.532,0.532,0.7783,"ChiMerge"
"Waveform",0.7567,0.5433,0.6833,0.6933,0.7433,0.3767,0.61,0.7667,"MDLP"
"Normals2D",0.7867,0.5467,0.5133,0.5133,0.8167,0.2267,0.4267,0.8267,"MDLP"
"Circle",0.8133,0.53,0.51,0.52,0.84,0.5333,0.5333,0.7667,"ChiMerge"
"Spirals",0.7933,0.5267,0.46,0.5067,0.8367,0.5,0.5,0.58,"ChiMerge"
"Cassini",1,0.4033,0.4033,0.4033,1,0.4,0.4,1,"GOLD, ChiMerge, MDLP"
"Ringnorm",0.87,0.5067,0.4733,0.4767,0.85,0.5,0.5,0.89,"MDLP"
"Threenorm",0.8033,0.5,0.56,0.5,0.77,0.5,0.57,0.71,"GOLD"
"Twonorm",0.9133,0.5,0.5,0.5,0.9167,0.5,0.5,0.9067,"ChiMerge"
"AirQuality",0.8378,0.5225,0.5225,0.5225,0.8468,0.5045,0.5045,0.8108,"ChiMerge"
"Mean",0.8329,0.495,0.4969,0.4725,0.8505,0.4296,0.4549,0.8112,"—"
