"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP","Best"
"Iris",0.9762,0.8479,0.8176,0.8176,0.9717,0.6647,0.7824,0.9751,"GOLD"
"BreastCancer",0.9923,0.9872,0.9875,0.9875,0.9932,0.9896,0.9832,0.991,"ChiMerge"
"Ionosphere",0.8728,0.623,0.7167,0.6786,0.8285,0.5032,0.4946,0.8749,"MDLP"
"Glass",0.8385,0.8347,0.8287,0.8211,0.8721,0.6004,0.62,0.8519,"ChiMerge"
"Vehicle",0.8975,0.8129,0.8174,0.8328,0.9115,0.494,0.4975,0.8913,"ChiMerge"
"Sonar",0.7551,0.6936,0.512,0.6079,0.6894,0.5,0.4827,0.7425,"GOLD"
"PimaDiabetes",0.8266,0.7087,0.7864,0.7706,0.8354,0.6129,0.5279,0.8075,"ChiMerge"
"Vowel",0.897,0.8287,0.9023,0.8328,0.9195,0.5103,0.5079,0.8991,"ChiMerge"
"Satellite",0.9749,0.9476,0.9547,0.9547,0.9745,0.5025,0.5058,0.9756,"MDLP"
"Shuttle",0.8817,0.8266,0.8231,0.8324,0.8721,0.5789,0.543,0.8642,"GOLD"
"BostonHousing",0.9393,0.8919,0.8703,0.8724,0.9408,0.6072,0.4257,0.9323,"ChiMerge"
"Ozone",0.8946,0.772,0.8227,0.7268,0.8823,0.4429,0.5277,0.8783,"GOLD"
"Waveform",0.9201,0.8051,0.8565,0.8712,0.9356,0.6114,0.888,0.9254,"ChiMerge"
"Normals2D",0.9295,0.8882,0.902,0.902,0.9482,0.6239,0.7181,0.907,"ChiMerge"
"Circle",0.6388,0.6296,0.5918,0.5317,0.6023,0.4679,0.5348,0.6572,"MDLP"
"Spirals",0.6066,0.5658,0.6057,0.619,0.6101,0.4627,0.4573,0.6239,"MDLP"
"Cassini",1,0.8347,0.8347,0.8345,1,0.5527,0.5747,1,"GOLD, ChiMerge, MDLP"
"Ringnorm",0.6954,0.5067,0.6137,0.6319,0.6878,0.43,0.4688,0.7716,"MDLP"
"Threenorm",0.8552,0.85,0.8246,0.8153,0.8552,0.5747,0.6482,0.7698,"GOLD, ChiMerge"
"Twonorm",0.9579,0.5,0.5,0.5,0.988,0.5,0.5,0.9339,"ChiMerge"
"AirQuality",0.8727,0.8369,0.8446,0.8446,0.8964,0.5489,0.3847,0.8938,"ChiMerge"
"Mean",0.8677,0.771,0.7816,0.7755,0.8674,0.5609,0.5749,0.8651,"—"
