"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP","Best"
"Iris",0.9863,0.5497,0.5845,0.5845,0.9862,0.7053,0.6704,0.9809,"GOLD"
"BreastCancer",0.9901,0.9725,0.9737,0.9737,0.9912,0.9898,0.9803,0.9905,"ChiMerge"
"Ionosphere",0.9626,0.8002,0.7016,0.7381,0.9635,0.51,0.4943,0.9522,"ChiMerge"
"Glass",0.9103,0.7893,0.89,0.7996,0.9254,0.6445,0.6408,0.908,"ChiMerge"
"Vehicle",0.9128,0.5926,0.5837,0.5811,0.9265,0.4883,0.4896,0.9102,"ChiMerge"
"Sonar",0.871,0.5261,0.6225,0.5251,0.8801,0.4482,0.5,0.8044,"ChiMerge"
"PimaDiabetes",0.8182,0.4699,0.6041,0.462,0.8324,0.4937,0.5091,0.8041,"ChiMerge"
"Vowel",0.9497,0.8753,0.9511,0.8825,0.9863,0.5175,0.5076,0.9413,"ChiMerge"
"Satellite",0.9838,0.8984,0.8982,0.8982,0.9841,0.4995,0.5036,0.9834,"ChiMerge"
"Shuttle",0.8849,0.663,0.531,0.5302,0.9943,0.7227,0.6632,0.9613,"ChiMerge"
"BostonHousing",0.9385,0.4491,0.4451,0.473,0.9381,0.639,0.6037,0.9319,"GOLD"
"Ozone",0.8803,0.4878,0.5601,0.5416,0.8737,0.5577,0.573,0.8724,"GOLD"
"Waveform",0.9183,0.7171,0.8501,0.8481,0.9175,0.5941,0.8599,0.9302,"MDLP"
"Normals2D",0.9228,0.8613,0.8551,0.8551,0.9225,0.601,0.6978,0.9054,"GOLD"
"Circle",0.9023,0.513,0.425,0.3609,0.9192,0.4973,0.5187,0.8562,"ChiMerge"
"Spirals",0.848,0.5254,0.4629,0.5259,0.9037,0.4573,0.4573,0.6408,"ChiMerge"
"Cassini",1,0.6487,0.6487,0.6487,1,0.5058,0.5058,1,"GOLD, ChiMerge, MDLP"
"Ringnorm",0.9504,0.5332,0.2746,0.2698,0.9443,0.4794,0.3076,0.9592,"MDLP"
"Threenorm",0.8728,0.5032,0.6461,0.5208,0.8737,0.5107,0.622,0.7664,"ChiMerge"
"Twonorm",0.9609,0.5118,0.7224,0.5378,0.9694,0.5427,0.883,0.9614,"ChiMerge"
"AirQuality",0.9091,0.6497,0.6094,0.6094,0.9148,0.5511,0.3847,0.8906,"ChiMerge"
"Mean",0.9225,0.6446,0.659,0.627,0.9356,0.5693,0.5892,0.9024,"—"
