"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP","Best"
"Iris",0.94,0.1867,0.1867,0.1867,0.94,0.64,0.6,0.9333,"GOLD, ChiMerge"
"BreastCancer",0.9751,0.7189,0.7247,0.7247,0.9751,0.9488,0.9341,0.9751,"GOLD, ChiMerge, MDLP"
"Ionosphere",0.8946,0.3618,0.3362,0.359,0.8917,0.359,0.359,0.8889,"GOLD"
"Glass",0.6776,0.271,0.3037,0.1402,0.6963,0.1121,0.1682,0.6916,"ChiMerge"
"Vehicle",0.6241,0.1501,0.1548,0.1478,0.63,0.2423,0.2589,0.5946,"ChiMerge"
"Sonar",0.7356,0.5048,0.3413,0.5144,0.6827,0.4663,0.4663,0.7308,"GOLD"
"PimaDiabetes",0.7383,0.349,0.3372,0.3125,0.7253,0.3867,0.3503,0.7461,"MDLP"
"Vowel",0.5061,0.201,0.2303,0.2384,0.5576,0.1091,0.0828,0.4808,"ChiMerge"
"Satellite",0.8182,0.3133,0.3072,0.3072,0.8219,0.1092,0.1092,0.8204,"ChiMerge"
"Shuttle",0.9871,0.0797,0.004,0.004,0.992,0.0289,0.0338,0.9933,"MDLP"
"BostonHousing",0.7984,0.3281,0.33,0.3261,0.7945,0.6245,0.5909,0.7964,"GOLD"
"Ozone",0.8325,0.2808,0.33,0.2857,0.7931,0.532,0.532,0.803,"GOLD"
"Waveform",0.7867,0.2533,0.3967,0.2533,0.74,0.47,0.6433,0.7733,"GOLD"
"Normals2D",0.7967,0.3867,0.3767,0.3767,0.7967,0.2533,0.4267,0.8267,"MDLP"
"Circle",0.8133,0.4833,0.4833,0.51,0.72,0.5333,0.5333,0.79,"GOLD"
"Spirals",0.7767,0.48,0.5033,0.4667,0.6833,0.5,0.5,0.58,"GOLD"
"Cassini",1,0.1767,0.2233,0.1933,1,0.4,0.4,1,"GOLD, ChiMerge, MDLP"
"Ringnorm",0.9467,0.4467,0.5,0.5,0.87,0.5,0.5,0.9533,"MDLP"
"Threenorm",0.7667,0.3967,0.44,0.4533,0.6867,0.5133,0.6033,0.7133,"GOLD"
"Twonorm",0.9367,0.5,0.5,0.5,0.9167,0.5,0.5,0.9467,"MDLP"
"AirQuality",0.8198,0.2252,0.2252,0.2252,0.8288,0.5045,0.5045,0.8108,"ChiMerge"
"Mean",0.8177,0.3378,0.3445,0.3345,0.7973,0.4159,0.4332,0.8023,"—"
