"Dataset","Disc_NB","None_GNB","Diff_NB","Disc_LogisticReg","None_LogisticReg","Disc_XGBoost","None_XGBoost"
"Iris",0.94,0.9467,-0.0067,0.9467,0.9533,0.9333,0.9467
"BreastCancer",0.9751,0.9605,0.0146,0.9663,0.9649,0.9605,0.9663
"Ionosphere",0.8946,0.8205,0.0741,0.8376,0.8205,0.9373,0.9316
"Glass",0.6776,0.3879,0.2897,0.6542,0.6262,0.6776,0.7757
"Vehicle",0.6241,0.4716,0.1525,0.7057,0.7955,0.708,0.766
"Sonar",0.7356,0.6683,0.0673,0.7452,0.6971,0.7885,0.7644
"PimaDiabetes",0.7383,0.7526,-0.0143,0.7656,0.7734,0.7552,0.7552
"Vowel",0.5061,0.5616,-0.0555,0.4737,0.5939,0.6404,0.8323
"Satellite",0.8182,0.7956,0.0226,0.8538,0.8573,0.8931,0.8928
"Shuttle",0.9871,0.4113,0.5758,0.9782,0.9657,0.9965,0.9989
"BostonHousing",0.7984,0.7688,0.0296,0.8577,0.8518,0.8518,0.8538
"Ozone",0.8325,0.8621,-0.0296,0.803,0.8128,0.7734,0.798
"Waveform",0.7867,0.7933,-0.0066,0.75,0.8067,0.7567,0.7767
"Normals2D",0.7967,0.84,-0.0433,0.8033,0.83,0.7867,0.7833
"Circle",0.8133,0.8333,-0.02,0.5933,0.5633,0.8133,0.8433
"Spirals",0.7767,0.4867,0.29,0.5267,0.5,0.7933,0.8933
"Cassini",1,0.9967,0.0033,1,0.9933,1,1
"Ringnorm",0.9467,0.9833,-0.0366,0.67,0.6533,0.87,0.8567
"Threenorm",0.7667,0.8333,-0.0666,0.7633,0.82,0.8033,0.8067
"Twonorm",0.9367,0.9733,-0.0366,0.93,0.9333,0.9133,0.9233
"AirQuality",0.8198,0.8378,-0.018,0.8018,0.8288,0.8378,0.8108
"Mean",0.8177,0.7612,0.0565,0.7822,0.7924,0.8329,0.856
